name,room_numbers,address,price,usable_area,gross_floor_area,url,latitude,longitude,price_per_sq_foot_SA,price_per_sq_foot_GFA
King Lam Estate・King Lui House (Block 2),Middle Floor・FLAT 13・Studio,Po Lam,1800000.0,349.0,,https://hk.centanet.com/findproperty/en/detail/King-Lam-Estate-King-Lui-House-(Block-2)_UDT966?theme=buy,22.3237131,114.2548803,5157.593123209169,
Cheung Wah Estate・Cheung Fung House,High Floor・FLAT 4・Studio,Fanling,2200000.0,423.0,,https://hk.centanet.com/findproperty/en/detail/Cheung-Wah-Estate-Cheung-Fung-House_EUT559?theme=buy,22.4916829,114.1414685,5200.945626477542,
TSUI PING (NORTH) ESTATE・TSUI ON HOUSE,Studio,Kwun Tong,1880000.0,355.0,,https://hk.centanet.com/findproperty/en/detail/TSUI-PING-(NORTH)-ESTATE-TSUI-ON-HOUSE_UCO647?theme=buy,22.3103686,114.2227035,5295.774647887324,
TAI WO ESTATE・ON WO HOUSE (BLOCK 7),1 Room,Tai Po Town Centre,1850000.0,349.0,,https://hk.centanet.com/findproperty/en/detail/TAI-WO-ESTATE-ON-WO-HOUSE-(BLOCK-7)_AOQ799?theme=buy,22.4423218,114.1655064,5300.859598853868,
LONG PING ESTATE・HAY PING HOUSE,High Floor・3 Rooms,Long Ping,2650000.0,490.0,,https://hk.centanet.com/findproperty/en/detail/LONG-PING-ESTATE-HAY-PING-HOUSE_CVG983?theme=buy,,,5408.163265306122,
Siu Ming Building,FLAT A・3 Rooms,Yuen Long Town Centre,2980000.0,550.0,,https://hk.centanet.com/findproperty/en/detail/Siu-Ming-Building_CQF252?theme=buy,22.4445376,114.0222076,5418.181818181818,
Tin Ping Estate・TIN CHEUNG HOUSE (BLOCK 2),Middle Floor・FLAT 8・2 Rooms,Sheung Shui,2080000.0,381.0,,https://hk.centanet.com/findproperty/en/detail/Tin-Ping-Estate-TIN-CHEUNG-HOUSE-(BLOCK-2)_EPG417?theme=buy,22.5112008,114.1260991,5459.317585301837,
TAI WO ESTATE・ON WO HOUSE (BLOCK 7),Low Floor・1 Room,Tai Po Town Centre,1960000.0,349.0,,https://hk.centanet.com/findproperty/en/detail/TAI-WO-ESTATE-ON-WO-HOUSE-(BLOCK-7)_AOP727?theme=buy,22.4423218,114.1655064,5616.045845272206,
MAY SHING COURT・FAI SHING HOUSE (BLOCK C),2 Rooms,Tai Wai,2150000.0,381.0,538.0,https://hk.centanet.com/findproperty/en/detail/MAY-SHING-COURT-FAI-SHING-HOUSE-(BLOCK-C)_EAY415?theme=buy,22.375941,114.178626,5643.044619422572,3996.282527881041
TAI WO ESTATE,2 Rooms,Tai Po Town Centre,2150000.0,381.0,,https://hk.centanet.com/findproperty/en/detail/TAI-WO-ESTATE_AOG050?theme=buy,22.4423218,114.1655064,5643.044619422572,
Tin Ping Estate・TIN CHEUNG HOUSE (BLOCK 2),High Floor・FLAT 10・1 Room,Sheung Shui,2150000.0,381.0,,https://hk.centanet.com/findproperty/en/detail/Tin-Ping-Estate-TIN-CHEUNG-HOUSE-(BLOCK-2)_EPG482?theme=buy,22.5112008,114.1260991,5643.044619422572,
Faraday House・Block 2,Low Floor・FLAT A・3 Rooms,Sam Shing,9980000.0,1751.0,,https://hk.centanet.com/findproperty/en/detail/Faraday-House-Block-2_CCK726?theme=buy,,,5699.6002284408905,
King Lam Estate・King Chung House (Block 1),Middle Floor・FLAT 16・Studio,Po Lam,2000000.0,349.0,,https://hk.centanet.com/findproperty/en/detail/King-Lam-Estate-King-Chung-House-(Block-1)_UDT543?theme=buy,22.3237131,114.2548803,5730.659025787965,
Cheung Fat Estate・CHUN FAT HOUSE (BLOCK 5),Middle Floor・FLAT 24・Studio,Tsing Yi,2000000.0,349.0,,https://hk.centanet.com/findproperty/en/detail/Cheung-Fat-Estate-CHUN-FAT-HOUSE-(BLOCK-5)_FIK227?theme=buy,22.3474872,114.1023164,5730.659025787965,
